time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,"city,region",dist_se,city,country
2010-01-27 22:26:10.850000+00:00,18.418,-72.044,10.0,4.0,mb,28.0,49.3,,0.88,us,usp000h6pv,2014-11-07 01:40:34.777000+00:00,"11 km SW of Fond Parisien, Haiti",earthquake,,,,4.0,reviewed,us,us," Fond Parisien, Haiti",11.0,Fond Parisien,Haiti
2010-01-27 03:07:59.620000+00:00,18.69,-72.826,10.0,4.1,mb,31.0,46.6,,1.43,us,usp000h6nt,2014-11-07 01:40:34.543000+00:00,"16 km SSE of Anse à Galets, Haiti",earthquake,,,,5.0,reviewed,us,us," Anse à Galets, Haiti",16.0,Anse à Galets,Haiti
2010-01-27 00:57:25.390000+00:00,18.427,-72.902,10.0,4.9,mb,148.0,39.5,,1.35,us,usp000h6nj,2014-11-07 01:40:34.467000+00:00,"3 km W of Tigwav, Haiti",earthquake,,,,76.0,reviewed,us,us," Tigwav, Haiti",3.0,Tigwav,Haiti
2010-01-26 14:03:14.830000+00:00,18.383,-72.037,10.0,4.2,mb,37.0,52.9,,1.01,us,usp000h6n4,2014-11-07 01:40:34.408000+00:00,"14 km SSW of Fond Parisien, Haiti",earthquake,,,,5.0,reviewed,us,us," Fond Parisien, Haiti",14.0,Fond Parisien,Haiti
2010-01-26 11:16:57.880000+00:00,18.502,-72.977,10.0,4.5,mb,58.0,48.4,,1.06,us,usp000h6mx,2014-11-07 01:40:34.381000+00:00,"13 km ENE of Miragoâne, Haiti",earthquake,,,,21.0,reviewed,us,us," Miragoâne, Haiti",13.0,Miragoâne,Haiti
2010-01-25 18:50:18.660000+00:00,18.38,-72.93,10.0,4.3,mb,31.0,73.5,,1.28,us,usp000h6m7,2014-11-07 01:40:34.172000+00:00,"8 km SW of Tigwav, Haiti",earthquake,,,,4.0,reviewed,us,us," Tigwav, Haiti",8.0,Tigwav,Haiti
2010-01-25 18:40:28.540000+00:00,18.491,-72.957,10.0,4.8,mb,70.0,48.5,,0.95,us,usp000h6m6,2014-11-07 01:40:34.166000+00:00,"11 km NW of Tigwav, Haiti",earthquake,,,,22.0,reviewed,us,us," Tigwav, Haiti",11.0,Tigwav,Haiti
2010-01-25 18:02:59.280000+00:00,18.482,-72.991,10.0,4.0,mb,23.0,75.9,,0.82,us,usp000h6m5,2014-11-07 01:40:34.164000+00:00,"11 km ENE of Miragoâne, Haiti",earthquake,,,,2.0,reviewed,us,us," Miragoâne, Haiti",11.0,Miragoâne,Haiti
2010-01-25 12:30:20.590000+00:00,18.515,-72.969,10.0,4.3,mb,27.0,72.1,,1.09,us,usp000h6kx,2014-11-07 01:40:34.096000+00:00,"14 km NW of Tigwav, Haiti",earthquake,,,,3.0,reviewed,us,us," Tigwav, Haiti",14.0,Tigwav,Haiti
2010-01-24 21:51:54.940000+00:00,18.51,-72.644,7.1,4.5,mb,60.0,48.3,,0.91,us,usp000h6k0,2022-07-16 01:23:49.351000+00:00,"1 km W of Léogâne, Haiti",earthquake,,7.5,,19.0,reviewed,us,us," Léogâne, Haiti",1.0,Léogâne,Haiti
